epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,983.352,2.0397,3.39421,1.87436,0.24313,0.07264,0.03763,0.01436,2.46454,3.76011,2.27852,0.000302927,0.000302927,0.000302927
2,1931.47,2.02536,3.01854,1.87453,0.21108,0.0775,0.0313,0.01168,2.39829,3.26562,2.15578,0.000585931,0.000585931,0.000585931
3,2989.09,1.97345,2.92692,1.84733,0.37394,0.09701,0.05954,0.02166,2.33713,3.20348,2.14253,0.000848938,0.000848938,0.000848938
4,3938.44,1.92617,2.81521,1.81217,0.39306,0.10068,0.06899,0.02501,2.33569,3.06155,2.12042,0.000819009,0.000819009,0.000819009
5,4864.48,1.86042,2.6616,1.77028,0.5478,0.10119,0.08011,0.03198,2.24106,2.91274,2.04933,0.000789012,0.000789012,0.000789012
6,5793.98,1.81042,2.56037,1.72216,0.57924,0.13213,0.09209,0.03574,2.19324,2.82399,2.0419,0.000759015,0.000759015,0.000759015
7,6716.23,1.77959,2.47828,1.69791,0.71201,0.11488,0.10547,0.04326,2.1705,2.77482,1.99068,0.000729018,0.000729018,0.000729018
8,7643.84,1.75833,2.38539,1.67259,0.62777,0.13131,0.1274,0.05222,2.13104,2.64597,1.96627,0.000699021,0.000699021,0.000699021
9,8570.22,1.72934,2.33635,1.6479,0.61943,0.14617,0.12222,0.0528,2.12092,2.56803,1.93597,0.000669024,0.000669024,0.000669024
10,9500.99,1.70263,2.2544,1.62657,0.60335,0.14379,0.13273,0.05567,2.09476,2.50059,1.88195,0.000639027,0.000639027,0.000639027
11,10435.6,1.68855,2.19379,1.6264,0.61348,0.16138,0.14463,0.06034,2.0881,2.43591,1.92243,0.00060903,0.00060903,0.00060903
12,11364.5,1.65429,2.15822,1.60319,0.63608,0.17047,0.16024,0.06897,2.03576,2.36474,1.85929,0.000579033,0.000579033,0.000579033
13,12293,1.64364,2.11569,1.58837,0.64843,0.17143,0.16505,0.07098,2.03196,2.2694,1.84109,0.000549036,0.000549036,0.000549036
14,13219.4,1.62356,2.06709,1.57824,0.74715,0.15323,0.17202,0.0761,2.00221,2.25416,1.83835,0.000519039,0.000519039,0.000519039
15,14144.1,1.61307,2.03315,1.56549,0.70833,0.1834,0.1955,0.08359,1.99666,2.15806,1.82537,0.000489042,0.000489042,0.000489042
16,15073,1.61351,1.98146,1.55455,0.73407,0.17575,0.19505,0.08478,1.95677,2.18434,1.79492,0.000459045,0.000459045,0.000459045
17,15996.5,1.58031,1.89044,1.52597,0.71995,0.19286,0.19731,0.08862,2.00266,2.16401,1.83623,0.000429048,0.000429048,0.000429048
18,16916.2,1.56099,1.86714,1.51767,0.69335,0.19753,0.20202,0.08815,1.95437,2.06742,1.79222,0.000399051,0.000399051,0.000399051
19,17836.3,1.54534,1.82336,1.5008,0.70737,0.19726,0.21108,0.09442,1.93358,2.0536,1.77459,0.000369054,0.000369054,0.000369054
20,18767.1,1.53518,1.81211,1.49255,0.74898,0.19442,0.22511,0.10288,1.93144,1.98348,1.76118,0.000339057,0.000339057,0.000339057
21,19689,1.56726,1.68391,1.52013,0.74829,0.19599,0.22507,0.10191,1.92686,1.98112,1.762,0.00030906,0.00030906,0.00030906
22,20614.3,1.54642,1.62191,1.51009,0.73711,0.20519,0.22924,0.10415,1.92467,1.96514,1.73751,0.000279063,0.000279063,0.000279063
23,21544.9,1.52544,1.55413,1.4923,0.77592,0.21431,0.23694,0.10688,1.93362,1.94049,1.74783,0.000249066,0.000249066,0.000249066
24,22472.6,1.49687,1.50046,1.46651,0.76589,0.20951,0.23471,0.10522,1.91162,1.95986,1.72732,0.000219069,0.000219069,0.000219069
25,23401.4,1.49144,1.48071,1.45667,0.7503,0.22035,0.24576,0.1121,1.90765,1.88011,1.71325,0.000189072,0.000189072,0.000189072
26,24308.3,1.45674,1.41176,1.43711,0.75104,0.22622,0.24894,0.11582,1.89484,1.86096,1.71689,0.000159075,0.000159075,0.000159075
27,25235.6,1.44512,1.39523,1.42388,0.747,0.23078,0.24459,0.1133,1.90232,1.84544,1.73037,0.000129078,0.000129078,0.000129078
28,26165.2,1.42613,1.34051,1.41024,0.76183,0.23371,0.25642,0.12,1.88347,1.81005,1.70412,9.9081e-05,9.9081e-05,9.9081e-05
29,27089.2,1.40673,1.31226,1.39841,0.78349,0.23297,0.26056,0.12209,1.88529,1.80524,1.70846,6.9084e-05,6.9084e-05,6.9084e-05
30,28015.8,1.40013,1.29347,1.38873,0.75381,0.24711,0.25933,0.12068,1.89052,1.79609,1.71827,3.9087e-05,3.9087e-05,3.9087e-05
