epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,894.779,2.05143,3.91841,1.83301,0.64396,0.07614,0.03923,0.01297,2.40645,4.17366,2.15318,0.000302927,0.000302927,0.000302927
2,1799.3,2.007,3.26743,1.83151,0.65544,0.06598,0.03904,0.01516,2.43568,3.77202,2.23784,0.000585931,0.000585931,0.000585931
3,2696.94,1.98361,3.05418,1.82029,0.37054,0.09458,0.05187,0.02033,2.30308,3.46025,2.11153,0.000848938,0.000848938,0.000848938
4,3610.63,1.9439,2.9053,1.78566,0.27243,0.09365,0.06186,0.02426,2.28569,3.41024,2.08282,0.000819009,0.000819009,0.000819009
5,4512.47,1.87166,2.77244,1.74542,0.38098,0.11423,0.07218,0.03048,2.20835,3.29429,2.0172,0.000789012,0.000789012,0.000789012
6,5411.82,1.84131,2.67933,1.72042,0.55098,0.12797,0.08825,0.03784,2.21839,3.14517,2.03947,0.000759015,0.000759015,0.000759015
7,6312.09,1.80882,2.60276,1.70099,0.58409,0.1213,0.09836,0.04065,2.19051,2.99514,1.96085,0.000729018,0.000729018,0.000729018
8,7219.19,1.78795,2.52522,1.66882,0.71685,0.12734,0.10532,0.04416,2.13274,2.90292,1.92439,0.000699021,0.000699021,0.000699021
9,8121.24,1.76266,2.46362,1.64717,0.60422,0.12078,0.10371,0.04449,2.10207,2.89359,1.8984,0.000669024,0.000669024,0.000669024
10,9021.88,1.74761,2.40809,1.63454,0.60558,0.12597,0.1136,0.04715,2.07466,2.91843,1.88999,0.000639027,0.000639027,0.000639027
11,9919.08,1.72834,2.3366,1.62158,0.63163,0.14769,0.12972,0.05527,2.05933,2.65837,1.88732,0.00060903,0.00060903,0.00060903
12,10817.7,1.69772,2.31553,1.6045,0.61352,0.15821,0.13246,0.05691,2.04879,2.6143,1.86755,0.000579033,0.000579033,0.000579033
13,11730.4,1.69011,2.26298,1.59244,0.65807,0.14693,0.14279,0.06292,2.01821,2.51462,1.84614,0.000549036,0.000549036,0.000549036
14,12640.5,1.67535,2.22024,1.58549,0.64401,0.17174,0.15974,0.06884,2.01493,2.44136,1.83659,0.000519039,0.000519039,0.000519039
15,13550.3,1.6697,2.19186,1.57333,0.6535,0.16168,0.16302,0.06922,2.01159,2.45634,1.83041,0.000489042,0.000489042,0.000489042
16,14460.4,1.66821,2.15325,1.56298,0.64219,0.17624,0.15065,0.06545,1.98869,2.44558,1.79196,0.000459045,0.000459045,0.000459045
17,15377.1,1.63349,2.07258,1.534,0.64724,0.16876,0.16366,0.06948,2.00991,2.43308,1.81691,0.000429048,0.000429048,0.000429048
18,16284.6,1.62491,2.05322,1.53638,0.68495,0.16866,0.17362,0.07582,1.96402,2.34448,1.77718,0.000399051,0.000399051,0.000399051
19,17181.6,1.60713,2.01098,1.52095,0.6855,0.17598,0.1838,0.07805,1.97558,2.29844,1.80086,0.000369054,0.000369054,0.000369054
20,18088.1,1.6005,1.99497,1.51316,0.69614,0.19091,0.19507,0.08604,1.94615,2.22619,1.74916,0.000339057,0.000339057,0.000339057
21,18995.5,1.63413,1.87799,1.54029,0.695,0.18869,0.19446,0.08646,1.9603,2.27324,1.75628,0.00030906,0.00030906,0.00030906
22,19901.5,1.60961,1.81421,1.52227,0.7002,0.18485,0.19934,0.08814,1.97,2.23688,1.75609,0.000279063,0.000279063,0.000279063
23,20800.4,1.60028,1.75903,1.5155,0.71611,0.19104,0.20574,0.09095,1.94513,2.18102,1.73837,0.000249066,0.000249066,0.000249066
24,21703.2,1.57913,1.70425,1.49813,0.69478,0.20128,0.20621,0.0935,1.91155,2.1713,1.70932,0.000219069,0.000219069,0.000219069
25,22599.9,1.56713,1.69177,1.48869,0.72107,0.20346,0.2221,0.10034,1.92707,2.1264,1.71807,0.000189072,0.000189072,0.000189072
26,23488.3,1.54171,1.62249,1.47173,0.74338,0.20151,0.22193,0.09879,1.93371,2.09945,1.72127,0.000159075,0.000159075,0.000159075
27,24388,1.53328,1.60116,1.46059,0.71809,0.21084,0.22733,0.10356,1.91624,2.04335,1.70252,0.000129078,0.000129078,0.000129078
28,25285.9,1.51729,1.5675,1.44735,0.73721,0.20901,0.22572,0.10284,1.90884,2.04204,1.70013,9.9081e-05,9.9081e-05,9.9081e-05
29,26189.6,1.50219,1.53824,1.43709,0.73039,0.21919,0.23245,0.10613,1.91916,2.01646,1.69842,6.9084e-05,6.9084e-05,6.9084e-05
30,27086.3,1.49654,1.51699,1.42865,0.73166,0.21263,0.23104,0.10614,1.90377,2.01149,1.68702,3.9087e-05,3.9087e-05,3.9087e-05
