epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1165.97,2.10336,3.33109,1.86963,0.21649,0.18284,0.10118,0.03863,2.39298,3.01645,2.06826,0.000476233,0.000476233,0.000476233
2,2302.67,2.069,2.87931,1.86399,0.25507,0.16947,0.10475,0.03976,2.31654,2.95904,1.96523,0.000921132,0.000921132,0.000921132
3,3435.34,2.02273,2.76191,1.83776,0.2138,0.20194,0.12066,0.04864,2.32144,2.85877,2.0605,0.00133459,0.00133459,0.00133459
4,4580.08,1.98203,2.66701,1.80414,0.25249,0.19794,0.13682,0.05442,2.2527,2.76397,1.99192,0.00128753,0.00128753,0.00128753
5,5721.85,1.94197,2.57543,1.77094,0.29367,0.23451,0.18496,0.07415,2.20122,2.6945,1.96295,0.00124037,0.00124037,0.00124037
6,6865.77,1.90864,2.51008,1.74721,0.24057,0.18359,0.14566,0.06012,2.19011,2.67388,1.94314,0.00119322,0.00119322,0.00119322
7,8008.17,1.87996,2.43629,1.71714,0.30996,0.23419,0.1946,0.08069,2.17747,2.58085,1.90237,0.00114606,0.00114606,0.00114606
8,9146.14,1.84341,2.3613,1.68998,0.36557,0.24183,0.21686,0.08943,2.15981,2.54556,1.88658,0.0010989,0.0010989,0.0010989
9,10286,1.83267,2.31865,1.6742,0.32286,0.24971,0.22175,0.09462,2.13484,2.49479,1.86979,0.00105174,0.00105174,0.00105174
10,11422.9,1.81384,2.26867,1.66397,0.35748,0.25218,0.2354,0.10027,2.11539,2.42664,1.83084,0.00100459,0.00100459,0.00100459
11,12562.8,1.79994,2.226,1.64736,0.34149,0.27484,0.22886,0.09686,2.07318,2.39618,1.80366,0.00095743,0.00095743,0.00095743
12,13701.4,1.78486,2.19344,1.63554,0.35834,0.2818,0.25139,0.10841,2.08489,2.33707,1.8215,0.000910273,0.000910273,0.000910273
13,14836.5,1.76012,2.14552,1.62379,0.37207,0.30545,0.27477,0.11454,2.06762,2.28763,1.80363,0.000863116,0.000863116,0.000863116
14,15974.1,1.74981,2.10132,1.60945,0.36866,0.31051,0.26016,0.11267,2.07648,2.28723,1.81494,0.000815959,0.000815959,0.000815959
15,17098,1.73566,2.0646,1.60092,0.37276,0.29222,0.26526,0.11407,2.0521,2.261,1.80202,0.000768802,0.000768802,0.000768802
16,18217.9,1.73306,2.05119,1.59096,0.41645,0.30307,0.28441,0.11993,2.04867,2.23931,1.79745,0.000721645,0.000721645,0.000721645
17,19354.5,1.70761,2.01183,1.57605,0.43907,0.31881,0.3093,0.13128,2.03774,2.18562,1.76883,0.000674488,0.000674488,0.000674488
18,20491.7,1.6938,1.97441,1.55669,0.43695,0.31915,0.30354,0.13224,2.01627,2.14871,1.76354,0.000627331,0.000627331,0.000627331
19,21632.4,1.68742,1.94577,1.55485,0.43693,0.33404,0.31189,0.1359,2.00299,2.11059,1.74871,0.000580174,0.000580174,0.000580174
20,22769.5,1.67411,1.90494,1.54334,0.47497,0.31935,0.32359,0.13994,1.99676,2.10449,1.73384,0.000533017,0.000533017,0.000533017
21,23919.8,1.6917,1.78406,1.57916,0.47985,0.32051,0.33821,0.14925,1.9798,2.0703,1.71999,0.00048586,0.00048586,0.00048586
22,25066.6,1.68064,1.73961,1.56832,0.48683,0.32589,0.34751,0.15054,1.97576,2.04259,1.70165,0.000438703,0.000438703,0.000438703
23,26211.4,1.65442,1.67764,1.54246,0.49522,0.34455,0.3568,0.15824,1.94678,2.00428,1.68931,0.000391546,0.000391546,0.000391546
24,27346.6,1.64191,1.6556,1.53436,0.51003,0.34047,0.36175,0.16151,1.94968,1.98722,1.69319,0.000344389,0.000344389,0.000344389
25,28485,1.6298,1.61977,1.52563,0.4797,0.36161,0.36371,0.16104,1.95444,1.97497,1.68688,0.000297232,0.000297232,0.000297232
26,29620.3,1.61077,1.57978,1.51389,0.5172,0.3653,0.37135,0.16308,1.94177,1.94632,1.67924,0.000250075,0.000250075,0.000250075
27,30756.4,1.59813,1.55369,1.49847,0.50251,0.36593,0.37618,0.16715,1.93072,1.93217,1.67023,0.000202918,0.000202918,0.000202918
28,31891.3,1.58312,1.51902,1.48649,0.52186,0.36605,0.38075,0.1686,1.93187,1.91925,1.66343,0.000155761,0.000155761,0.000155761
29,33019.7,1.56259,1.48515,1.47413,0.5177,0.37115,0.38386,0.16971,1.93894,1.90704,1.6685,0.000108604,0.000108604,0.000108604
30,34157,1.55949,1.46908,1.4705,0.52058,0.37785,0.37897,0.16749,1.93718,1.89896,1.66629,6.1447e-05,6.1447e-05,6.1447e-05
